ID;NAME;ADDRESS;TYPE;CATEGORIES;USPs;OwnContributions
"{""$guid"":""0189587f-4bd6-4154-a946-a47b15ba714c""}";"""Ambulante Hauskrankenpflege Katja Schiffer""";"""Schillerstrasse 5586881 Landsberg""";"""AMBULANT""";"[{""Name"":""Hilfe bei der Haushaltsführung"",""Description"":""z.B. Reinigung der Wohnung, Wäschepflege, Müllentsorgung.""},{""Name"":""WLAN kostenlos"",""Description"":null},{""Name"":""Aufzug"",""Description"":null}]";"[""kompetent""]";"[{""Degree"":1,""Amount"":898.486557253}]"
"{""$guid"":""01b45eaf-480b-4a0d-96ab-888e74c5593d""}";"""Tagespflegestätte René Wagner""";"""Borstelmannsweg 2696257 Marktgraitz""";"""DAYCARE""";"[{""Name"":""Behindertengerechtes WC""},{""Name"":""Theater""}]";"[""Wundmanager im Team"",""Gerne kümmern wir uns auch um den Pflegebedürftigen, wenn Sie selbst zum Arzt müssen oder mit Freunden ausgehen möchten.""]";"[{""Degree"":4,""Amount"":3259.831776265}]"
"{""$guid"":""040219b3-2174-4ac9-90f0-cdba230f2a91""}";"""Ambulante Hauskrankenpflege Sebastian Fleischer""";"""Hoheluftchaussee 6304912 Herzberg""";"""AMBULANT""";"[{""Name"":""Freizeitangebote""},{""Name"":""barrierearm""},{""Name"":""Spielplatz""},{""Name"":""Telefon- und Internetanschluss im Zimmer"",""Description"":null}]";[];[]
"{""$guid"":""04b2b0ba-f24e-4da1-bc3b-ef741e66b08e""}";"""Tagespflegestätte für Senioren Brigitte Fenstermacher""";"""Boxhagener Str. 221039 Hamburg Curslack""";"""DAYCARE""";"[{""Name"":""Sportplatz""},{""Name"":""Einbauküche""},{""Name"":""Ärztliche Hausbesuche""}]";"[""-"",""kleine Einrichtung"",""Ehrenamtliche Mitarbeiter sind für uns sehr wertvoll in der Betreuung der Bewohner. Wir schätzen Ihr Engagement und die Zeit, in der Sie sich individuell den Menschen zuwenden.""]";"[{""Degree"":4,""Amount"":3578.274460779},{""Degree"":3,""Amount"":3085.476034128}]"
"{""$guid"":""050ca354-4120-43d4-a897-0e162d55a8bf""}";"""Jens Thalberg Klinik""";"""Fugger Strasse 806813 Dessau""";"""STATIONARY""";"[{""Name"":""Demenzbetreuung""},{""Name"":""Meer""},{""Name"":""Junge Pflege"",""Description"":null},{""Name"":""Hausarztbesuche"",""Description"":null},{""Name"":""Spezielle ambulante palliative Versorgung (SAPV)"",""Description"":""Besondere Pflege sterbenskranker Menschen zur Verbesserung der Lebensqualität.""}]";"[""Eigene Küche"",""Wir bieten ein vielfältiges Programm, das die Interessen unserer Bewohnerinnen und Bewohner berücksichtigt. Dazu gehören Gymnastik, Singkreis, Spielenachmittage, Modenschauen und vieles mehr."",""Online Supermarkt""]";"[{""Degree"":3,""Amount"":2962.234446645},{""Degree"":4,""Amount"":3888.865175372}]"
"{""$guid"":""05eea0b2-b254-41e8-936b-4c47f5dfc6eb""}";"""Leonie Lemann gGmbH""";"""Alt Reinickendorf 5086471 Ziemetshausen""";"""STATIONARY""";"[{""Name"":""Concierge/ Pförtner""},{""Name"":""Reinigungsservice""},{""Name"":""Betreuung bei Demenz"",""Description"":null},{""Name"":""öffentliche Bibliothek""}]";"[""über 50% Fachkraftquote + zusätzliche Pflegefachkräfte nach SGB V"",""Stundenintensive Betreuung und Pflege""]";"[{""Degree"":3,""Amount"":3127.406123154}]"
"{""$guid"":""06cc0688-13a6-444e-8e1d-727c1a0dd269""}";"""Seniorenservice Dirk Frueh""";"""Schillerstrasse 6685403 Nandlstadt""";"""AMBULANT""";"[{""Name"":""Unterstützung bei der Beantragung eines Pflegegrades"",""Description"":null},{""Name"":""Facharztbesuche"",""Description"":null}]";"[""Eine Besonderheit sind die tierischen Bewohner, die sich großer Beliebtheit erfreuen. Es gibt Kaninchenställe und ein Gehege mit Bergschafen.""]";"[{""Degree"":2,""Amount"":1570.894706096}]"
"{""$guid"":""08aeeb40-e8ee-42e5-aeb0-7b4cab23baa9""}";"""Seniorenservice Wolfgang Brauer""";"""Unter den Linden 1639036 Magdeburg""";"""AMBULANT""";"[{""Name"":""Spezielle ambulante palliativ Versorgung (SAPV)"",""Description"":null},{""Name"":""Kirche"",""Description"":null},{""Name"":""Besuchsdienst""},{""Name"":""Veranstaltungen/ Feste"",""Description"":null}]";"[""toll"",""NN"",""In den komfortablen Einzelzimmern stehen Ihnen ein elektrisches Pflegebett, ein Nachttisch, ein Schrank und Tisch mit Stühlen und ein eigenes Bad zur Verfügung.""]";"[{""Degree"":2,""Amount"":1610.273473482},{""Degree"":3,""Amount"":2858.267530733}]"
"{""$guid"":""08f10506-e348-41c3-b60c-bf65d3f01df3""}";"""Tagespflegestätte für Senioren Sabrina Goldschmidt""";"""Kantstraße 3909395 Hormersdorf""";"""DAYCARE""";"[{""Name"":""Apotheke""}]";"[""Fachpersonal""]";"[{""Degree"":4,""Amount"":3690.110724741}]"
"{""$guid"":""0ab6238f-ae14-4d96-9165-ac4ea6250c99""}";"""Ambulante Hauskrankenpflege Dominik Bürger""";"""Brandenburgische Str 3555413 Oberheimbach""";"""AMBULANT""";"[{""Name"":""angeschlossenes altersgerechtes Wohnen"",""Description"":null},{""Name"":""angeschlossener ambulanter Pflegedienst""},{""Name"":""Hausarztbesuche"",""Description"":null}]";"[""Außenstelle Betreutes Wohnen \""Pfeiffers Hof\"""",""Rundumpflege aus einer Hand""]";"[{""Degree"":2,""Amount"":1358.299581268},{""Degree"":3,""Amount"":3011.513117706}]"
"{""$guid"":""0c2a9e40-2648-4501-bfbe-d6d632728c41""}";"""Ambulante Hauskrankenpflege Diana Fink""";"""Hallesches Ufer 2472649 Wolfschlugen""";"""AMBULANT""";"[{""Name"":""Häusliche Pflege"",""Description"":""z.B. Unterstützung bei der Körperpflege, beim Toilettengang.""},{""Name"":""Therapieangebote""},{""Name"":""angeschlossene Kurzzeitpflege""},{""Name"":""Demenzbetreuung""}]";"[""Unterstützung bei der Vermittlung und Koordination von Leistungen nach Bedarf"",""In unserer Arbeit fühlen wir uns den christlichen Werten wie Nächstenliebe und Toleranz verbunden und machen diese Werte in der täglichen Arbeit erlebbar."",""Vertrauensvoller Kontakt zu Bewohnerinnen und Bewohnern sowie Angehörigen""]";"[{""Degree"":1,""Amount"":917.275935489},{""Degree"":3,""Amount"":2912.016024656}]"
"{""$guid"":""0c2c2bcb-3e4a-4552-ae80-9f65668b1164""}";"""Tagespflegestätte für Senioren Lucas Ziegler""";"""Feldstrasse 5739235 Calbe""";"""DAYCARE""";"[{""Name"":""Einkaufsmöglichkeiten""},{""Name"":""Aufzug"",""Description"":null},{""Name"":""Bibliothek"",""Description"":null},{""Name"":""Sportgruppe""}]";"[""Die Kosten werden zusätzlich von der Pflegekasse übernommen, wenn Sie einem Pflegegrad zugeordnet sind. Nähere Infos erhalte Sie bei Ihrem Ansprechpartner.""]";"[{""Degree"":4,""Amount"":3804.570265023}]"
"{""$guid"":""0d41c5e3-f220-4221-9b42-ba26f1c587e9""}";"""Tagespflegestätte für Senioren Ursula Probst""";"""Kieler Strasse 2583324 Ruhpolding""";"""DAYCARE""";"[{""Name"":""Spazier- und Wanderwege""},{""Name"":""Gruppenangebote für Senioren"",""Description"":""Regelmäßige Veranstaltungen für Senioren""}]";"[""Probetag nach Voranmeldung"",""Kostenfreie Servicegespräche""]";"[{""Degree"":4,""Amount"":3912.550541415},{""Degree"":3,""Amount"":2579.327122811}]"
"{""$guid"":""0d730728-8165-461a-bbfe-165324e416eb""}";"""Seniorenservice Andreas Schwarz""";"""Hardenbergstraße 7466909 Nanzdietschweiler""";"""AMBULANT""";"[{""Name"":""Kirche"",""Description"":null},{""Name"":""Café""},{""Name"":""Balkon""},{""Name"":""Therapieangebote""}]";"[""NN"",""Pflege, Begleitung und Betreuung"",""Cafeteria, Friseur""]";"[{""Degree"":2,""Amount"":2086.175859364},{""Degree"":4,""Amount"":3555.062739321},{""Degree"":3,""Amount"":3187.13734459}]"
"{""$guid"":""122a52ae-969d-4482-ab6e-b5a5a807dde4""}";"""Brigitte Kirsch""";"""Augsburger Strasse 6857368 Lennestadt""";"""AMBULANT""";"[{""Name"":""Restaurant""}]";[];[]
"{""$guid"":""138156bb-84b5-4c57-8bca-69cd271b848d""}";"""Seniorenservice Martina Bar""";"""Ansbacher Strasse 7754595 Gondenbrett""";"""AMBULANT""";"[{""Name"":""Andachtsraum"",""Description"":null},{""Name"":""Nachtpflege"",""Description"":""Pflege & Betreuung über Nacht in einer Einrichtung.""}]";"[""Online Pflegekurs: www.johanniter-pflegecoach.de"",""Alles aus einer Hand! Vermittlung von teil- & stationären Wohnformen; Dienstleistungen: Betreuung & Schulung pflegender Angehöriger, Vermittlung von Menüservice""]";"[{""Degree"":2,""Amount"":2057.541789281}]"
