start,duration,value
2020-07-14T14:54:00+02:00,[60],[6.52]
2020-07-14T14:56:00+02:00,"[60,60,60,60,60,60,60]","[28.79,37.38,57.84,71.02,9.92,40.13,8.74]"
2020-07-14T15:07:00+02:00,[60],[0]
2020-07-14T15:09:00+02:00,[60],[0]
2020-07-14T15:21:00+02:00,[60],[27.12]
2020-07-14T15:22:00+02:00,[60],[65.6]
2020-07-14T15:24:00+02:00,"[60,60,60]","[80.69,81.91,22.28]"
2020-07-14T15:28:00+02:00,[60],[4.019]
2020-07-14T15:31:00+02:00,[60],[6.06]
2020-07-14T15:37:00+02:00,"[60,60]","[4.97,5.02]"
2020-07-14T16:14:00+02:00,[60],[0]
2020-07-14T16:30:00+02:00,[60],[14.15]
2020-07-14T16:34:00+02:00,[60],[23.23]
2020-07-14T16:39:00+02:00,"[60,60,60]","[41.13,4.82,13.95]"
2020-07-14T17:12:00+02:00,"[60,60]","[14.08,0]"
2020-07-14T17:20:00+02:00,"[60,60]","[13.86,3.19]"
2020-07-14T17:24:00+02:00,"[60,60]","[0,0]"
2020-07-14T17:39:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[0,0,10.9,54.7,49.04,16.72,4.059,31.31,63.12,63.53,24.42,26.66,4.019,6.04,11.32,0]"
2020-07-14T17:56:00+02:00,"[60,60]","[0,14.58]"
2020-07-14T18:19:00+02:00,[60],[4.94]
2020-07-14T18:37:00+02:00,"[60,60]","[18.73,23.44]"
2020-07-14T18:43:00+02:00,"[60,60]","[14.71,15.07]"
2020-07-14T18:46:00+02:00,"[60,60,60]","[22.79,16.79,16.03]"
2020-07-14T18:51:00+02:00,"[60,60,60,60]","[0,0,4.9,0]"
2020-07-14T18:57:00+02:00,"[60,60]","[21.89,1.72]"
2020-07-14T20:04:00+02:00,[60],[6.28]
2020-07-14T20:24:00+02:00,[60],[8.14]
2020-07-14T20:35:00+02:00,[120],[5.45]
2020-07-14T20:43:00+02:00,[60],[4.1]
2020-07-14T21:15:00+02:00,[60],[8.15]
2020-07-14T21:26:00+02:00,[60],[8.51]
2020-07-14T21:35:00+02:00,[60],[0]
2020-07-14T21:38:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[9.69,6.28,0,5.68,18.49,0,5.51,8.92,5.84,19.31,6.76,0,18.9,59.92,6.56,26.25,46.3,31.55,17.73]"
2020-07-14T21:57:00+02:00,"[60,60,60,60,60]","[0,10.76,4.48,0,0]"
2020-07-14T22:04:00+02:00,"[60,60,60,60]","[4.6,23.39,11.08,12.34]"
2020-07-14T22:10:00+02:00,[60],[4.53]
2020-07-15T08:09:00+02:00,"[60,60]","[5.07,10.51]"
2020-07-15T08:15:00+02:00,"[60,60,60,60]","[9.6,34.94,8.29,5.41]"
2020-07-15T08:28:00+02:00,"[60,60]","[11.73,5.43]"
2020-07-15T09:06:00+02:00,[60],[13.44]
2020-07-15T09:11:00+02:00,"[60,60,60]","[9.16,16.99,5.62]"
2020-07-15T09:50:00+02:00,"[60,60]","[4.63,13.85]"
2020-07-15T10:00:00+02:00,[60],[11.72]
2020-07-15T10:07:00+02:00,[60],[28.89]
2020-07-15T10:29:00+02:00,"[60,60]","[5.5,2.37]"
2020-07-15T10:52:00+02:00,"[60,60]","[14.83,16.07]"
2020-07-15T11:11:00+02:00,[60],[5.86]
2020-07-15T11:36:00+02:00,[60],[8.83]
2020-07-15T11:39:00+02:00,"[60,60,60]","[0,0,0]"
2020-07-15T11:50:00+02:00,[60],[0]
2020-07-15T11:52:00+02:00,[60],[0]
2020-07-15T11:55:00+02:00,"[60,60,60,60]","[0,0,5.39,0]"
2020-07-15T12:00:00+02:00,[60],[12.96]
2020-07-15T12:02:00+02:00,[60],[4.63]
2020-07-15T12:15:00+02:00,[60],[14.15]
2020-07-15T12:19:00+02:00,"[60,60]","[6.8,15.76]"
2020-07-15T12:30:00+02:00,[60],[8.2]
