start,duration,value
2020-07-14T22:33:00+02:00,"[120,8040]","[0,1]"
2020-07-14T23:06:00+02:00,"[1140,1320,1440,540,840,960]","[0,1,2,1,2,1]"
2020-07-15T00:49:00+02:00,[540],[2]
2020-07-15T00:50:00+02:00,[1620],[2]
2020-07-15T01:17:00+02:00,[1800],[1]
2020-07-15T01:47:00+02:00,"[1080,4380,480,780,240,720,1740,1320]","[2,1,2,1,2,1,2,1]"
2020-07-15T04:46:00+02:00,"[1500,4200,660,780,540,1080,420]","[2,1,2,1,2,1,2]"
2020-07-15T07:19:00+02:00,"[2100,180,420]","[1,2,1]"
2020-07-15T22:45:00+02:00,"[300,180,300,1080,1740,1680,1080,2160,480,240,180,720,660]","[0,1,2,1,2,1,2,1,2,1,0,1,2]"
2020-07-16T01:45:00+02:00,"[240,420,240,1260,780,300,240,540]","[1,1,2,1,2,0,1,2]"
2020-07-16T02:52:00+02:00,"[600,1440,1080,2940,480,1740,660,1020,420]","[2,1,2,1,2,1,2,1,2]"
2020-07-16T05:45:00+02:00,"[1260,960,480,420,2100,180,2280,240,540]","[1,2,1,2,1,2,1,2,1]"
2020-07-16T22:32:00+02:00,"[180,180,1200,1020,540,1080,720,2940,780,1320,840]","[0,1,2,1,2,1,2,1,2,1,2]"
2020-07-17T01:32:00+02:00,"[840,3000,2040,2580,420,1200,300]","[2,1,2,1,2,1,2]"
2020-07-17T04:25:00+02:00,"[961,1559,960,600]","[1,2,2,1]"
2020-07-17T05:33:00+02:00,"[1260,1800,480,180,1200,360,660,420,3240]","[1,2,1,2,1,2,1,2,1]"
