start,duration,value
2020-07-14T14:54:00+02:00,[60],[9]
2020-07-14T14:56:00+02:00,"[60,60,60,60,60,60,60]","[38,50,68,93,15,51,12]"
2020-07-14T15:07:00+02:00,[60],[0]
2020-07-14T15:09:00+02:00,[60],[0]
2020-07-14T15:21:00+02:00,[60],[37]
2020-07-14T15:22:00+02:00,[60],[88]
2020-07-14T15:24:00+02:00,"[60,60,60]","[110,105,31]"
2020-07-14T15:28:00+02:00,[60],[5]
2020-07-14T15:31:00+02:00,[60],[7]
2020-07-14T15:37:00+02:00,"[60,60]","[6,7]"
2020-07-14T16:14:00+02:00,[60],[0]
2020-07-14T16:30:00+02:00,[60],[20]
2020-07-14T16:34:00+02:00,[60],[33]
2020-07-14T16:39:00+02:00,"[60,60,60]","[60,7,18]"
2020-07-14T17:12:00+02:00,"[60,60]","[19,0]"
2020-07-14T17:20:00+02:00,"[60,60]","[20,4]"
2020-07-14T17:24:00+02:00,"[60,60]","[0,0]"
2020-07-14T17:39:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[0,0,13,70,67,24,6,45,89,87,31,39,6,9,17,0]"
2020-07-14T17:56:00+02:00,"[60,60]","[0,20]"
2020-07-14T18:19:00+02:00,[60],[7]
2020-07-14T18:37:00+02:00,"[60,60]","[28,33]"
2020-07-14T18:43:00+02:00,"[60,60]","[21,22]"
2020-07-14T18:46:00+02:00,"[60,60,60]","[28,25,22]"
2020-07-14T18:51:00+02:00,"[60,60,60,60]","[0,0,7,0]"
2020-07-14T18:57:00+02:00,"[60,60]","[29,2]"
2020-07-14T20:04:00+02:00,[60],[8]
2020-07-14T20:24:00+02:00,[60],[13]
2020-07-14T20:35:00+02:00,[120],[7]
2020-07-14T20:43:00+02:00,[60],[6]
2020-07-14T21:15:00+02:00,[60],[11]
2020-07-14T21:26:00+02:00,[60],[7]
2020-07-14T21:35:00+02:00,[60],[0]
2020-07-14T21:38:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[13,8,0,7,26,0,7,13,8,29,10,0,25,83,9,39,66,45,26]"
2020-07-14T21:57:00+02:00,"[60,60,60,60,60]","[0,14,6,0,0]"
2020-07-14T22:04:00+02:00,"[60,60,60,60]","[7,34,14,19]"
2020-07-14T22:10:00+02:00,[60],[7]
2020-07-15T08:09:00+02:00,"[60,60]","[7,14]"
2020-07-15T08:15:00+02:00,"[60,60,60,60]","[14,51,10,9]"
2020-07-15T08:28:00+02:00,"[60,60]","[17,8]"
2020-07-15T09:06:00+02:00,[60],[20]
2020-07-15T09:11:00+02:00,"[60,60,60]","[13,22,7]"
2020-07-15T09:50:00+02:00,"[60,60]","[6,19]"
2020-07-15T10:00:00+02:00,[60],[16]
2020-07-15T10:07:00+02:00,[60],[39]
2020-07-15T10:29:00+02:00,"[60,60]","[8,3]"
2020-07-15T10:52:00+02:00,"[60,60]","[21,23]"
2020-07-15T11:11:00+02:00,[60],[7]
2020-07-15T11:36:00+02:00,[60],[12]
2020-07-15T11:39:00+02:00,"[60,60,60]","[0,0,0]"
2020-07-15T11:50:00+02:00,[60],[0]
2020-07-15T11:52:00+02:00,[60],[0]
2020-07-15T11:55:00+02:00,"[60,60,60,60]","[0,0,8,0]"
