von,bis,"leicht (s)","tief (s)","rem (s)","wach (s)",Aufwachen,"Duration to sleep (s)","Duration to wake up (s)","Snoring (s)","Snoring episodes","Average heart rate","Heart rate (min)","Heart rate (max)"
2020-07-14T22:33:00+02:00,2020-07-15T08:04:00+02:00,25680,8460,0,120,0,120,0,0,0,57,47,87
2020-07-14T22:09:00+02:00,2020-07-15T08:08:00+02:00,24660,2640,6480,2160,3,960,0,0,0,57,47,76
2020-07-15T22:43:00+02:00,2020-07-16T08:04:00+02:00,27480,1260,4020,900,1,360,0,0,0,58,45,81
2020-07-15T22:45:00+02:00,2020-07-16T08:06:00+02:00,22020,10860,0,780,2,300,0,0,0,53,45,83
2020-07-16T22:10:00+02:00,2020-07-17T08:13:00+02:00,25620,2160,5040,3360,2,2040,540,0,0,57,47,71
2020-07-16T22:32:00+02:00,2020-07-17T08:13:00+02:00,21721,12959,0,180,0,180,0,0,0,60,51,74
2020-07-17T23:25:00+02:00,2020-07-18T11:31:00+02:00,25440,1680,5340,10200,6,1140,0,180,1,59,47,77
2020-07-18T23:02:00+02:00,2020-07-19T09:51:00+02:00,30000,780,3840,4320,4,1200,1260,360,1,54,44,76
2020-07-19T17:45:00+02:00,2020-07-19T18:02:00+02:00,600,0,0,420,0,420,0,0,0,50,47,51
2020-07-19T22:31:00+02:00,2020-07-20T07:53:00+02:00,27600,600,4200,1320,1,960,0,0,0,53,46,69
2020-07-20T21:34:00+02:00,2020-07-21T08:26:00+02:00,26400,3300,5400,4020,4,840,0,0,0,54,46,69
2020-07-22T00:05:00+02:00,2020-07-22T08:12:00+02:00,19080,2520,5340,2280,1,1320,540,0,0,61,52,78
2020-07-22T22:52:00+02:00,2020-07-23T08:28:00+02:00,22140,2940,7380,2100,3,960,0,0,0,58,47,79
2020-07-23T22:36:00+02:00,2020-07-24T08:31:00+02:00,29700,660,2640,2580,3,600,0,0,0,53,46,78
2020-07-24T23:55:00+02:00,2020-07-25T08:46:00+02:00,22860,1500,5640,1680,2,600,0,0,0,54,47,72
2020-07-26T00:07:00+02:00,2020-07-26T09:43:00+02:00,26280,780,4320,3120,3,1860,540,180,1,56,46,76
2020-07-26T22:25:00+02:00,2020-07-27T07:48:00+02:00,25140,720,5760,2160,1,1800,0,0,0,54,45,69
2020-07-27T22:48:00+02:00,2020-07-28T07:56:00+02:00,27480,900,2940,1560,1,1140,0,240,1,52,45,71
2020-07-28T17:25:00+02:00,2020-07-28T18:09:00+02:00,1140,0,0,1500,0,1500,0,0,0,53,49,59
2020-07-28T22:47:00+02:00,2020-07-29T07:56:00+02:00,30720,900,0,1200,3,480,0,0,0,58,46,81
