Date,"Gewicht (kg)","Fettmasse (kg)","Knochenmasse (kg)","Muskelmasse (kg)","Wasseranteil (kg)",Kommentare
"2020-07-23 22:33:52",58.61,,,,,
"2020-07-23 08:28:36",58.14,,,,,
"2020-07-22 08:17:00",57.95,,,,,
"2020-07-21 08:25:09",58.71,,,,,
"2020-07-20 08:06:08",58.27,,,,,
"2020-07-19 22:29:38",58.94,,,,,
"2020-07-19 11:21:57",58.36,,,,,
"2020-07-18 23:00:30",59.07,,,,,
"2020-07-18 09:41:42",58.16,,,,,
"2020-07-17 23:22:33",58.49,,,,,
"2020-07-17 08:15:01",58.87,,,,,
"2020-07-16 22:09:23",59.00,,,,,
"2020-07-16 08:12:23",58.55,,,,,
"2020-07-15 22:38:42",61.01,,,,,
"2020-07-15 22:34:56",59.12,,,,,
"2020-07-15 22:29:54",59.17,,,,,
"2020-07-15 08:08:17",59.95,,,,,
"2020-07-14 22:07:43",60.39,,,,,
"2020-07-14 13:16:54",62.31,,,,,
"2020-07-14 13:13:37",60.00,,,,,
